phones,frequency
h ɔ ɹ n d,10
m aɪ ə,7
ɛ n d ɪ ŋ,2
s w ɪ ŋ z,39
tʃ ɪ m p æ n z iː z,2
l eɪ d iː b ʌ ɡ z,41
b l aɪ n d z,1
k ʌ b,47
k aɪ n d z,105
f ɑ k s,222
p æ k s,7
w ɪ ɡ,29
ʃ aɪ n iː,61
t ɹ ɪ p s,10
k æ l ə m ə z uː,2
f aʊ n t ə n,6
m oʊ t ə ɹ s aɪ k ə l,58
p eɪ l z,6
eɪ p ɹ ə k ɑ t,25
j ɔ ɹ k,162
s æ m ə n,47
w ɔ l ə t,36
n ɛ k l ə s ɪ z,5
p eɪ l,50
p æ s ə n dʒ ə ɹ,6
p ɪ ɹ ɑ n j ə z,1
dʒ aɪ ə n t,63
b ɛ l oʊ,1
ɡ ɹ æ n d m ɑ,340
n iː z,32
t ɹ æ m,3
s l ɪ p ɪ ŋ,16
k æ l k ʌ t ə,1
k ɪ d,95
ɡ ɑ d m ʌ ð ə ɹ,9
m ɑ n ə ɹ eɪ l,2
s k ɹ ɪ b ə l ɪ ŋ,1
tʃ ʌ b iː,22
b ɹ eɪ v l iː,8
b ʌ n d ə l,6
m ɪ t ə n z,37
ə n t aɪ d,4
p l aʊ,7
h ɑ ɹ v ə s t ə ɹ,1
ɪ k s p ɛ n s ɪ v,12
ɹ ɪ p ɛ ɹ d,4
k ə l æ p s ɪ z,3
d iː p oʊ,8
dʒ uː l iː,11
s æ l ə d,38
ʃ ɛ l f,38
d ə ɹ ɛ k ʃ ə n,20
p l eɪ s ə z,36
s iː ɛ s t ə,2
s ɔ ɹ d,1
f ɛ ð ə ɹ,49
ɪ n s t ɹ ʌ k ʃ ə n z,5
t eɪ k ə n,38
s n eɪ l,53
s k eɪ t b ɔ ɹ d,9
s k ɹ iː m,10
b aʊ n s ɪ ŋ,19
p ɹ aɪ s,14
h æ n d ə d,7
h ɛ n ɹ iː z,6
s iː ʃ ɛ l z,6
l eɪ t ə s t,6
ɹ ɛ dʒ ɪ s t ə ɹ,9
w ʊ m ə n,94
p ɛ n iː,16
j ʌ ŋ,83
d ɛ d,28
l eɪ k s,14
p aʊ n d,11
l ɪ ŋ,14
ɔ ɹ d ə ɹ z,4
m ɪ ɹ ə ɹ z,2
v j uː,43
ə d ʌ l t s,7
f ɹ ɛ n d l iː z,2
m ɛ n j uː,5
s ɜː t ə n,39
d ɛ k ə ɹ eɪ ʃ ə n z,5
h ɛ d l aɪ t,2
ɔ f ə n,22
p aɪ p,11
ɪ ɡ z ɔ s t,1
w eɪ t ɹ ə s ɪ z,1
s uː v ə n ɪ ɹ,1
w ɪ n d ʃ iː l d,2
s iː k,23
ɹ ɪ ŋ z,1
n ɔɪ z ɪ z,28
s æ ŋ,34
k w ɑ l ə t iː,3
m ə t ɪ ɹ iː ə l,10
ɹ æ z b ɛ ɹ iː,26
b l æ k b ɛ ɹ iː,4
ɑ b s t ə k ə l,11
l oʊ ɡ oʊ,3
m ɜː iː z,4
f ɜː n ɪ tʃ ə ɹ z,1
f ɜː n ɪ tʃ ə ɹ,15
t æ ɡ,30
p ɛ n s ə l z,30
w ɪ ɡ ə l ɪ ŋ,14
b aʊ n s,108
w iː k s,73
ə dʒ ʌ s t ə b ə l,1
ɹ eɪ d iː eɪ t ə ɹ,6
m ɜː iː,9
ɡ ɹ æ s h ɑ p ə ɹ z,22
s p iː l,1
s ɜː,70
ə l æ s k ə,25
æ s t ɹ ə n ɑ t,28
ɡ ɹ oʊ s ə ɹ iː z,17
tʃ aɪ n ə,27
w ɔ t ə ɹ m ɛ l ə n z,24
l ɛ m ə n z,12
b ɔ l d,1
aɪ ɡ l æ s,1
dʒ aɪ ɡ æ n t ɪ k,5
k ɹ ɔ l ɪ ŋ,28
k l ɪ p s,12
f eɪ v ə ɹ ɪ t s,8
f l ɔ ɹ z,3
tʃ ɜː tʃ,15
k ɹ ʌ m,5
v ɪ z ɪ t,108
ɡ ɑ d z,1
l aɪ b ɹ ɛ ɹ iː z,1
p ɹ eɪ ɪ ŋ,2
p ɹ eɪ,5
p ɹ ɛ ɹ,2
dʒ iː,4
b aɪ b ə l,3
s t ɔ ɹ iː z,2
s p iː k s,5
t æ ŋ k,23
ɑ f l iː,26
ɡ ɪ v ə n,20
h ɪ m z,1
dʒ ɛ f s,1
w ɛ d,3
æ n θ ə n iː z,1
ɡ ɹ ɛ ɡ z,3
l aɪ n d,17
ɪ tʃ ɪ ŋ,3
l eɪ d,12
ʃ eɪ p t,31
ɑ b dʒ ɛ k t s,6
s ʌ n d eɪ,2
p ɹ æ k t ə s ɪ ŋ,8
ɹ oʊ z b ʊ ʃ,1
ɛ ɹ p ɔ ɹ t,18
ɹ ɑ dʒ ə ɹ,1
p ɹ iː t ɛ n d z,2
s ə l ɑ m iː,6
m ɛ m b ə ɹ,19
ɪ n v aɪ t ə d,25
ɡ ɹ iː n h aʊ s,2
p ʌ n ɪ ʃ t,1
t ɹ ɪ m,13
m ɑ ɹ k ə ɹ z,36
s t ʌ m ə k,15
ɪ n s t ɹ ə m ə n t,37
f ɛ l t,84
k ə k uː n,6
p ʊ ʃ t,41
n ɪ b ə l d,6
s iː ʃ ɛ l,8
ʌ n d ə ɹ w ɔ t ə ɹ,23
θ æ ŋ k s ɡ ɪ v ɪ ŋ,28
b l ɛ s t,3
ɡ æ ð ə ɹ d,13
ʃ ɛ ɹ d,9
ɪ n d iː ə n z,5
s k ɪ l f ə l,4
t ɔɪ l d,3
l eɪ b ə ɹ d,3
s t ɛ d f æ s t l iː,3
f ɑ ɹ m d,3
p ɪ l ɡ ɹ ə m z,6
k l iː n ə ɹ,35
ɔɪ,101
ɹ iː uː z ə b ə l,1
t aʊ ə ɹ z,5
l ɜː n d,41
d æ b,2
p l eɪ s m æ t,3
ɹ oʊ z ɪ z,21
s n oʊ z,2
h ɑ ɹ ʃ,2
s t ʊ d,56
ʃ ɛ l t ə ɹ d,3
k ɔɪ n z,9
ə n n oʊ n,3
tʃ ɑ ɹ t,13
s t oʊ n,56
m ɑ ɹ k t,9
h ɑ ɹ b ə ɹ,2
s w ɪ ŋ ɪ ŋ,36
ɪ n d iː ə n,17
h eɪ l,2
w ɛ ð ə ɹ d,3
m eɪ f l aʊ ə ɹ,5
d ɑ k t,2
s t ɑ ɹ t ɪ ŋ,31
f oʊ,6
b ɪ ɡ æ n,70
b ɹ eɪ v,40
n oʊ t s,17
m j uː z ɪ k ə l,26
ɹ ɛ p ɹ ɪ z ɛ n t,1
n oʊ n,10
d aɪ s,3
k æ n s ə l,3
p ɑ ɹ k ɪ ŋ,9
s p ɛ ʃ ə l,259
ɛ n d l ə s,3
ɹ iː l iː s,3
s æ n d ɪ ŋ,1
ə h ɔɪ,2
s ɔ ɪ ŋ,3
d ɑ k,5
s t ɹ eɪ t ə n d,3
k ɹ æ k t,19
t uː l ə,1
s p ɪ l z,21
ɹ ɪ ð ə m,2
b æ n dʒ oʊ,3
h æ k,1
θ aʊ z ə n d,24
ʃ aʊ t ɪ ŋ,13
p ɑ l ə n,3
m eɪ l b ɑ k s,22
f l ɪ p ə ɹ z,6
t uː k ə n,16
f l ə m ɪ ŋ ɡ oʊ z,11
v æ l ə n t aɪ n z,13
ɔɪ l,195
ʌ n j ə n z,17
k ə n ɛ k t,22
b ɛ n z,6
ɡ ɑ ɹ l ɪ k,35
t w ɪ s t iː,7
k eɪ l,14
s ɪ l v ə ɹ ɑ d oʊ,1
m ʌ ʃ ɹ uː m z,36
p ɹ ɪ n t s,12
tʃ aɪ n iː z,7
l ɪ t ə l z,2
f ɹ aɪ,16
d ɹ ɑ p s,26
ʃ ʊ ɡ ə ɹ z,3
ə s p ɛ ʃ l iː,44
ə d ɔ ɹ ə b ə l,2
s ə l ɛ k t,1
m ɑ n t ɪ z uː m ə,1
k ə n v ɜː t ə b ə l,1
p ʌ m p,33
h ɪ d ə n,22
ɡ æ l ə n,2
ɡ æ s ə l iː n,16
p aʊ n d z,6
ɪ k s t ɪ ŋ ɡ w ɪ ʃ ə ɹ,1
k ə l ɛ k t,9
w ɜː iː d,39
k æ p,48
d ɪ n ə ɹ,147
m iː l,29
w ɪ ɡ ə l,136
l ɛ n t ə l z,7
d ɪ d ə l,41
f ɛ l oʊ,15
dʒ ɑ l iː,10
m iː t b ɔ l,16
ɛ l,2
ɹ oʊ l d,33
s ɪ k s t iː,11
n æ k,7
n ɪ k,5
ɪ m æ dʒ ə n eɪ ʃ ə n z,2
f ɹ æ dʒ ə l,12
s n ɔ ɹ ɪ ŋ,16
ʃ ɔ ɹ t k eɪ k,1
j ʌ m,213
d ɔ ɡ z,2
p l æ n t ɪ ŋ,8
d ɪ s ə p ɔɪ n t,1
s æ n d ə l,7
b l ɛ n d ɪ ŋ,1
b uː t,32
ɹ oʊ v ə ɹ,2
ɛ dʒ,125
d ɪ m ɑ l ɪ ʃ t,1
s l ɪ p,24
s p ɹ ɑ k ə t,2
p ɹ ə v aɪ d ɪ d,2
k ɹ iː m ə ɹ,1
w ɪ p t,3
s n aʊ t,11
p ɔ ɹ ʃ ə,2
t ɹ ɪ p,97
p ɹ ə d uː s,3
p ɪ ɡ l ɪ t,86
b iː ɛ m d ʌ b ə l j uː,1
m ɑ n t iː,1
k ə m ɛ ɹ oʊ,1
ɹ ɪ v iː ɛ ɹ ə,2
h æ n d ə l,32
s m ɜː k,2
p ɑ m p ɑ m,8
ɔ t ə,5
ɡ ə l aɪ ə θ,1
t eɪ t ə ɹ,8
ɪ n d ə ɡ oʊ,4
p aɪ n,19
t ə w ɔ ɹ d,28
b j uː t ə f l iː,8
ɹ uː ɪ n ɪ ŋ,1
l æ m b ə ɹ ɡ iː n iː,1
f l æ p t,4
dʒ ʌ m p t,76
w iː l z,205
f l oʊ t ɪ ŋ,25
f ɹ aɪ t ə n d,18
ɛ k s k l ə m eɪ ʃ ə n,3
f ɑ l oʊ d,15
f eɪ s ɪ ŋ,10
w ɛ n ɛ v ə ɹ,28
d ɪ s t ɹ ʌ k ʃ ə n,3
s k ɛ ɹ,15
p ɛ ɡ,4
k ɑ n s ə n t ɹ eɪ t,3
ɛ k s ə ɹ s aɪ z ɪ ŋ,6
p ɑ t iː,353
p ɪ k ɛ t,2
ʃ ɪ p s,1
b ɪ ɹ d,33
ɛ v ɹ iː b ɑ d iː z,41
p ə ɹ f ɔ ɹ m ə n s,5
p ə ɹ f ɔ ɹ m ɪ ŋ,5
ɹ oʊ l ə ɹ b l eɪ d,1
d ɔ ɹ ə,80
l ɪ v ɪ ŋ,102
s ɔ f t b ɔ l,1
p ɑ p ɪ ŋ,55
k ə n ɛ k t ɪ ŋ,2
d ɹ ɪ b ə l,68
b ɹ æ n tʃ ə z,18
v ɑ l iː b ɔ l,5
t w ɪ s t ə ɹ,4
k l iː n z,13
s t ɹ eɪ n dʒ,49
d ɪ z iː,38
p ʊ ʃ ə z,12
ɹ eɪ z,18
t w ɪ s t ɪ ŋ,7
ɡ ɑ l f,30
k l ʌ b z,6
k ɹ oʊ k eɪ,2
p ʌ t,3
m ɛ t ə l,25
s k ɹ uː z,10
k l æ m p,3
p ɪ n tʃ ə ɹ z,5
t ɔ t,23
ɹ uː l ə ɹ,7
ɪ n tʃ ə z,20
ɹ ɛ n tʃ,13
h ɛ ɹ s t aɪ l,1
b oʊ l t,2
n eɪ l z,39
m ɑ ɹ ɑ k ɑ,2
ɹ iː ə l aɪ z,35
s k ɪ p iː,1
s ɛ p ə ɹ ə t l iː,2
z ɪ p,95
f ɜː ð ə ɹ,24
k æ m ɹ ə z,25
f æ s ə n eɪ t ə d,6
tʃ ɪ ɹ iː oʊ,24
s t ɛ ɹ ɪ ŋ,9
w aɪ p ə ɹ z,24
ɹ aɪ d ə ɹ z,14
w aɪ ə ɹ,11
b ʌ ŋ k,27
iː θ ə n,760
p ʊ s,18
j ɔ n,43
s p ɪ l d,53
b ɔɪ n k,18
d ɑ l z,8
t æ ŋ ɡ ə l d,85
p uː,40
m ɑ ɹ k s,11
k ə b uː m,24
f ɜː,4
s ɪ l k iː,3
k æ v z,4
k æ f,20
l æ m z,7
w ʊ l iː,16
s k ɹ æ tʃ iː,36
t æ ɡ z,2
θ ʌ m p,31
z ɪ p ə ɹ,54
ɛ v,9
s eɪ k,2
d ɔ ɹ z,9
k ə n ɛ k t ɪ d,9
w aɪ ə ɹ z,15
k ɹ ʌ n tʃ,65
k æ t ə p ɪ l ə ɹ z,5
w ɜː m,63
b ɑ ŋ k,59
k ɹ ɪ s,6
m eɪ s ə n,9
t ɪ s j uː z,29
b aʊ n s t,8
v ɜː b,4
d ɹ ɪ ŋ k ɪ ŋ,94
n uː z p eɪ p ə ɹ,20
h ɑ l oʊ,3
m ʌ n iː z,1
ɹ eɪ n dʒ,2
d eɪ z iː,185
f ɑ l oʊ ɪ ŋ,28
ɪ tʃ,28
l aɪ f,82
ə n d ʌ n,7
s n æ p t,9
p æ s ə f aɪ ə ɹ,9
v aɪ t ə m ə n z,4
h ɛ,135
ʃ æ d oʊ z,5
w ɪ s ə l,74
b l oʊ ɪ ŋ,54
k l aʊ d z,49
p aɪ l d,7
p ʌ f,34
ɡ ɹ ʌ m b ə l,1
d aɪ b ə l,3
k aɪ,10
p ʌ d ə l z,5
l ɑ k ɪ ŋ,3
l ɑ k t,15
ə n l ɑ k,3
ɑ n d ɹ eɪ z,2
k oʊ l,39
n æ p k ɪ n,47
p ʌ f t,36
d ɪ ŋ k iː,3
k l æ k,40
ə n k ʌ m f ə ɹ t ə b ə l,16
ð ɛ ɹ ə ɹ,28
k ɑ m ə t,3
s k uː p ɪ ŋ,11
p ʌ z ə l d,6
s l iː v,53
b aʊ n s iː,30
s n ɪ p,16
t ɑ k,49
t ɪ k,124
l uː s,30
s l ɪ p s,6
s ɑ f t ə ɹ,12
ɹ ʌ m b ə l,7
h uː t,16
d eɪ n dʒ ə ɹ ə s,28
tʃ ʌ ɡ,192
m ʌ d iː,11
f ʌ z iː,84
t oʊ d z,2
k æ ɹ iː z,24
f ɜː iː,19
b ɑ k,3
k oʊ ɑ l ə z,12
f ɪ l z,8
k oʊ ɑ l ə,91
s k eɪ l ɪ,4
k æ t s,59
l ɔ ɡ z,24
s k ɹ æ p,17
k ɹ aɪ z,6
b iː eɪ eɪ,67
h ɪ p,43
k æ tʃ ə z,12
k ɹ ɛ s ə n t,5
s t ɹ ʌ m,17
l æ f s,9
s k uː t s,3
t ʌ ŋ z,6
ɡ ɹ æ n d,1
ɛ n d z,28
h ɑ p ə ɹ,8
l ɪ f t s,11
tʃ uː d,3
b ɹ ɛ θ s,2
f l eɪ k,5
k æ tʃ ɪ ŋ,17
f ɔ t,2
s l ɜː p,7
s n oʊ f l eɪ k,21
t ɹ eɪ l,21
s w uː ʃ,5
b ɑ ɹ k ɪ ŋ,8
ɡ ɪ d iː,48
k ɹ ɪ b,65
p ɪ k ʌ p,12
p ɪ k ə ɹ,12
b ɹ ɑ k ə l iː,65
s t ɪ ŋ k iː,29
m æ k s ɪ z,51
m æ k s,416
ɹ uː b iː,166
s ɪ s t ə ɹ,108
n ɪ p ə l z,6
h ʊ k t,18
k ə l ɛ k t s,2
tʃ ɪ k ə n z,7
b oʊ l z,26
d uː t iː,15
m ɪ ɹ ə ɹ,82
n uː d ə l,26
uː d ə l,5
f iː d z,4
ʃ ɛ l,69
d ɹ ɪ ŋ k s,30
w aɪ p ɪ ŋ,10
k æ n d iː z,2
k l iː n ə k s,7
dʒ eɪ m z,1
t ɑ f ə m,21
s p uː k,1
ʃ aʊ t s,10
ɡ iː s,19
tʃ aʊ,5
j oʊ ɡ ə ɹ t,390
s ʌ n ɹ uː m,3
f ɹ ʌ s t ɹ eɪ t ɪ ŋ,16
b aɪ t ɪ ŋ,19
s t aɪ,2
k l ɑ z ə t,89
b ʌ k ə l z,10
ʃ ʌ v l ɪ ŋ,13
b ɑ k s k ɑ ɹ,5
s t ɹ aɪ p t,36
ɛ ŋ,1
ɛ n dʒ ə n ɪ ɹ,34
s m aɪ l ɪ ŋ,34
b ɪ b,48
ɡ ɑ n d ə l ə z,6
b ɑ k s k ɑ ɹ z,7
f l iː z,2
d ʌ k l ɪ ŋ z,19
f l ʌ f iː,28
ɡ ɑ z l ɪ ŋ z,2
h ɛ n,46
p ɪ ɡ l ɪ t s,12
k l ɪ f ə ɹ d,131
k ɹ oʊ k,2
p ʌ p s,4
ɹ ʌ m,27
n æ p ɪ ŋ,6
d iː d iː,1
n ɛ t,13
t ɪ k l ɪ ŋ,41
b ɹ aɪ d,3
d ɹ æ ŋ k,24
ʌ p h ɪ l,11
d aʊ n h ɪ l,6
t ʌ n ə l z,5
l ɪ k w ə d,14
t æ ŋ k ə ɹ z,4
t ɹ ɛ s ə l,3
p ɹ ɪ n s,83
ɑ ɹ ɡ,1
p l æ n ə t s,1
ɡ l oʊ z,4
eɪ k ə ɹ,6
ə ɹ aɪ v d,50
d ɪ s k ʌ v ə ɹ,8
p ɛ n z,2
s k ɑ ɹ f,35
w ɔ ɹ m ə s t,1
h iː ə ɹ ə ə ɹ,2
p ɪ ɡ iː b æ k,3
t iː ɛ s,5
p j uː,17
ɡ ɑ,10
ɡ uː,14
s w iː p ɪ ŋ,22
ɛ l ə v eɪ t ə ɹ,9
p ʌ f s,6
s t ɑ p s,18
s k ɹ iː tʃ,6
æ s k s,25
p æ s ə n dʒ ə ɹ z,14
f ɪ l ə ɹ,3
s t ɹ ɪ p t,5
ə n s t ʌ k,6
eɪ k ɔ ɹ n,29
k ɪ ŋ,127
tʃ iː p t,7
h ɛ n iː,3
k l ʌ k t,2
t ɹ ɑ t,9
l ɑ k iː,3
k ɑ k iː,1
m ɛ t,36
k ɹ oʊ d,1
s t ɹ ʌ t,3
d ʌ k iː,14
k w æ k t,7
w ɑ d ə l,7
l eɪ k iː,2
l uː s iː,55
ɡ uː s iː,3
h ɑ ŋ k t,4
dʒ ɑ ɡ,2
ɡ ɑ b ə l d,7
f ɑ k s iː,4
ɡ ɹ aʊ l d,4
l ɛ ɹ,7
h ɪ k ə p s,11
w ɑ n d,28
s t eɪ ɪ ŋ,25
b l ɪ ŋ k,28
s ə p oʊ z,49
m ɪ s tʃ ə f,8
j iː,5
s ɛ n t,1
b ɪ k eɪ m,17
v aɪ n z,3
p ɹ aɪ v ə t,6
t ʌ m b ə l d,14
s eɪ l d,21
ɹ ɔ ɹ z,11
ɹ ɔ ɹ d,9
n æ ʃ t,5
m ɔ ɹ n,1
ɹ aɪ z,14
b ɑ ɹ n iː z,2
b iː k s,5
h ɪ s,13
h ʌ ɡ z,33
t ɹ aɪ p ɑ d,81
f uː l,10
h ɪ k ə p,6
ɹ ɪ p l aɪ d,13
l oʊ d ə ɹ,25
t ɹ æ f ɪ k,13
w ɑ tʃ ə z,9
d ɹ ɔ z,1
ɹ eɪ s ɪ ŋ,16
d uː p ə ɹ,10
ɹ ɪ p l aɪ z,5
p aʊ t s,1
w eɪ t s,2
d ɪ b ə l,2
t ɪ p t oʊ z,5
w eɪ k s,13
k l aɪ m z,12
p ɛ ɹ ə n t s,59
f aɪ t s,4
w ɪ n z,6
f ɔ s ə t,16
ʃ aɪ n,16
k ɜː t ə n z,15
l iː p s,6
iː v n ɪ ŋ,32
l aɪ t l iː,6
s t ɑ ɹ d ʌ s t,3
d ɪ l aɪ t,7
k ɑ t ə n,9
f l æ ʃ ɪ z,1
s w ɪ f t l iː,3
k ɑ m ə t s,5
m uː n l ɪ t,5
s t ɑ ɹ iː,7
s t ɹ iː k,3
s ɪ l v ə ɹ iː,1
j ɔ n d,7
l ɛ n z,8
k l ɪ p ɪ ŋ,5
k l ɪ p ə ɹ,3
b ʊ l,7
ɹ æ t,21
f ɹ ɛ d iː,1
tʃ ʌ b,4
f ʌ s,5
w ɛ ɹ ɛ v ə ɹ,34
s w iː t s,164
k ʌ l ə ɹ f ə l,20
s t oʊ n z,25
f l uː,4
b ɹ eɪ k d aʊ n,7
n ɑ n s ɛ n s,6
k oʊ tʃ,12
s w ɑ n z,1
f eɪ d ə d,2
tʃ ɜː p t,3
ɡ oʊ l d ə n,24
p ʌ f ə ɹ,10
p iː t iː,7
k l ɑ p,18
ə n t æ ŋ ɡ ə l,8
t uː l b ɔ k s,13
k eɪ dʒ,12
k l eɪ,62
d ɪ tʃ,5
h æ m,51
f ɔ ɹ k l ɪ f t,6
b æ k h oʊ,23
b l iː p,85
s æ m,244
p ɪ tʃ,12
b eɪ s ə z,10
æ k s,28
p ɜː s iː,155
t oʊ b iː,54
m eɪ v ɪ s,7
d iː s ə l,20
d ʌ m p l ɪ ŋ,4
d eɪ v iː,6
t ɹ ɛ v ə ɹ,157
d ɹ æ ɡ ə n,85
t iː z ɪ z,1
s ɪ n ə n ɪ m s,2
l ɔ f t iː,7
ɹ oʊ l iː,13
b ɑ ð ə ɹ z,3
f eɪ z,1
t ɑ d l ə ɹ,68
t uː l,55
b æ k p æ k s,11
m ɛ n,56
s p iː d iː,2
s ʌ d ə n l iː,99
b l oʊ aʊ t,1
ɡ ɔ ɹ d ə n,85
ɪ n s t ɹ ə m ə n t s,20
t aɪ ə ɹ z,15
m æ s t ə ɹ,13
b ɪ l iː v d,3
tʃ eɪ n,50
ɹ ʌ m p,3
d ɹ æ ɡ ə n z,1
p ɔɪ n t ə ɹ,8
aʊ tʃ,105
ɹ eɪ l z,5
f ɹ eɪ t,33
tʃ ɪ ɹ f ə l,6
l ɛ v ə ɹ,8
h ɑ p t,10
ɛ d w ə ɹ d,5
n ɪ m b ə l,1
w ɪ n iː,21
ə s ɛ n t,1
b ɛ n t,10
s ə dʒ ɛ s t s,2
p ɜː s iː z,13
tʃ ʌ ɡ ɪ ŋ,13
d ʌ m p t ɹ ʌ k,57
θ ɪ ŋ k s,9
ɜː dʒ ə z,1
l æ n d ə d,38
k ɑ f ɪ ŋ,21
k aʊ n t s,5
b ɪ ɡ ɪ n z,95
k ə n d ʌ k t ə ɹ,17
t ɹ æ k t ə ɹ z,8
f ɪ d ə l,15
ɔ s t ɹ ɪ tʃ,28
b ʌ f ə ɹ,3
s m oʊ k s t æ k,8
ɡ ɹ æ n d p ɑ,119
d oʊ m,5
w ɪ s ə l z,3
w ɑ ʃ ɪ z,13
f ɹ ɪ dʒ,39
ɛ s k ə l eɪ t ə ɹ,21
p ʌ p iː z,60
ɹ æ b ə t s,17
t ɛ ɹ ɪ ŋ,3
dʒ ɑ ɡ ɪ ŋ,2
b uː b iː,1
b ɑ ɹ t,5
p ɹ iː t ɛ n d ɪ ŋ,68
b ɹ ɛ s t,14
m aɪ k,12
m æ s k,11
æ k s ɛ s ə ɹ iː z,1
t aɪ t s,13
k ʌ z ə n z,1
ɡ eɪ t s,8
s uː s iː,1
l ɔ n d ɹ ə m æ t,10
ɡ ʌ s,20
k oʊ l ə ɹ,2
ə ɹ,17
p ɪ k ə ɹ z,2
l æ m p p oʊ s t,4
p ɔɪ n t,62
s æ p,1
p oʊ s t,20
s t ɹ ɛ tʃ t,14
ɡ ɔ ɹ,4
p aʊ n d ɪ ŋ,3
m eɪ l ɪ ŋ,2
f l ɔ ɹ ə,4
b ɑ ɡ,5
w æ k,6
ɛ k s ə ɹ s aɪ z ə z,6
t ɹ ə p iː z,9
l ɪ f t ə d,15
oʊ l ɪ v iː ə,131
k ə n d ɪ ʃ ə n ɪ ŋ,4
b ɪ ŋ ɡ ɪ ŋ,2
t æ k s iː,30
ʃ eɪ d iː,8
d ɪ l ɪ v ə ɹ z,6
m ʌ ʃ,28
d ɹ iː m,41
h ɔ l,20
h ɛ k s ə ɡ ɑ n,8
d uː d,13
b æ k j ɑ ɹ d,25
aʊ l z,27
k ɹ ɪ k ə t,9
h ʌ ʃ,47
k æ s ə l z,10
ɹ ɛ k,5
t ɔɪ l ə t,38
s w iː p ə ɹ,6
s iː t b ɛ l t,21
b uː b ɪ z,1
s ə b dʒ ɛ k t,3
l ɔ ɡ ɪ ŋ,7
f ɹ ɛ d z,1
f ɹ ɛ d,48
k ɹ ɑ k ə d aɪ l,46
s t ɹ æ p,11
iː ɡ ə l z,4
h ɛ v iː ə ɹ,5
ə n z ɪ p t,1
s k ɹ eɪ p ə ɹ,4
p eɪ v ə ɹ,2
f aɪ ə ɹ h aʊ s,5
s n ʌ ɡ ə l,65
d ɪ ɡ ə ɹ,43
uː z,3
s n uː z,14
k ɪ n d ə ɹ ɡ ɑ ɹ t ə n,10
b oʊ l d ə ɹ z,6
æ d ə m z,4
k ɜː l d,7
t ɪ k ə t,30
b ɹ ɛ n d ə z,5
k ɹ ɪ s t ə f ə ɹ,23
p ɔ ɹ p ə s,3
n ɑ d,5
p ɹ ə f ɜː,10
d ɹ ɪ f t ɪ ŋ,1
k eɪ v,70
b æ k s,2
p ʌ ŋ k ɪ n,1
p ʌ ŋ k iː,6
ʌ n t æ ŋ ɡ l d,3
b eɪ k ə ɹ iː,11
p aɪ z,22
tʃ ɑ m p,8
s k uː p ə ɹ,5
d æ n iː,53
h ɜː z,5
ɛ k oʊ,11
p æ k t,20
ɛ m ɪ l iː,63
s k uː p t,3
b oʊ l d ə ɹ,11
s k ɹ ʌ m p ʃ ə s,18
s k w ɜː t s,2
f æ n iː,1
k æ m p ɪ ŋ,12
k l aɪ m ə ɹ,5
ɡ ʌ n iː,1
iː ə n,16
s k ɹ ʌ b ɪ ŋ,13
s æ l iː,76
m ʌ n tʃ,8
h oʊ m ɹ ʌ n,3
d ɹ ɛ s,202
w eɪ z,3
b l ɑ,106
ɡ ɹ oʊ z,24
f iː d ɪ ŋ,41
f ʊ t p ɹ ɪ n t s,13
l ɜː n z,2
dʒ ɛ s iː,2
ɡ ɹ oʊ d ɪ n,1
s k ɔ ɹ,14
k iː k iː,4
p ɔ,42
ɡ ɪ ɹ,13
p oʊ l,34
s l aɪ d z,5
ɪ n t ɹ ə s t ɪ ŋ,146
tʃ ɪ ɹ,21
l ɛ n iː,2
s t æ m p s,32
m æ t iː,3
l ɑ k s,1
t æ p s,6
n ɔ ɹ ə,1
s l ɑ t s,2
ə f iː l j ə,1
n uː d ə l z,17
k æ n v ə s,2
s t ɪ ɹ z,2
p ə t ɹ ɪ ʃ ə,2
s k eɪ l,8
tʃ ɛ k s,5
k w ɛ n t ɪ n,1
w ɔ ŋ,1
k l aɪ m d,76
t ɪ p s,4
s p l ɪ t s,2
ɡ ɹ æ b z,4
s ɛ ɹ ə,1
t ɑ m iː,12
ɹ iː s ə n t l iː,14
s uː,1
ɹ ɪ n uː,1
k l ɪ k s,3
m æ k,4
k l uː z,15
ɜː s ə l ə,29
k w ɑ n t ə t iː,1
v ɪ k iː,3
k l ʌ m p s,2
w ɑ n d ə,4
ɛ dʒ w ʊ d,1
s p l ɛ n d ɪ d,9
s ɔ ɹ t s,10
m aɪ k ə l,37
m ʌ m p s,1
b ɪ t s,30
ɹ oʊ d z,11
z eɪ v j ə ɹ,1
j oʊ l ɑ n d ə,1
z æ k,9
l eɪ n,2
d ɹ uː ɹ iː,2
æ s f ɔ l t,4
s eɪ l ə ɹ z,1
b æ t ɪ ŋ,2
k ɹ aʊ d ə d,14
dʒ ə ɹ æ f s,23
d aɪ v ɪ ŋ,12
w æ m,2
k ɪ k t,5
p ɑ p s,1
p ʌ n tʃ,8
p ɔ ɹ z,1
d ʌ ɡ l ə s,1
k aʊ ə b ʌ n ɡ ə,1
b æ n ə ɹ,2
dʒ ʌ ɡ ə l ɪ ŋ,7
k l æ ŋ k,3
uː f,33
v ɜː t ɪ k l iː,1
p ɹ ə z ɜː v,1
t ʌ tʃ t,16
ɡ ɹ oʊ n d,6
b ɪ l d z,1
ʃ ə k ɑ ɡ oʊ,5
ɪ ɡ z æ dʒ ə ɹ eɪ t,1
n ʌ θ ɪ ŋ z,7
