word	phonetic	syllabic
fairchild's	f ɛ ɹ tʃ aɪ l d z	
faircloth	f ɛ ɹ k l ə θ	
fairclough	f ɛ ɹ k l aʊ	
faire	f ɛ ɹ	
fairer	f ɛ ɹ ə ɹ	
faires	f ɛ ɹ z	
fairest	f ɛ ɹ ɪ s t	
fairey	f ɛ ɹ iː	
fairfax	f ɛ ɹ f æ k s	
fairfield	f ɛ ɹ f iː l d	
fairground	f ɛ ɹ ɡ ɹ aʊ n d	
fairgrounds	f ɛ ɹ ɡ ɹ aʊ n d z	
fairhaven	f ɛ ɹ h eɪ v ə n	
fairhurst	f aɪ ɹ h ə ɹ s t	
fairies	f ɛ ɹ iː z	
fairlawn	f ɛ ɹ l ɔ n	
fairleigh	f ɛ ɹ l ə	
fairless	f ɛ ɹ l ɪ s	
fairley	f ɛ ɹ l iː	
fairlie	f ɛ ɹ l iː	
fairlow	f ɛ ɹ l oʊ	
fairly	f ɛ ɹ l iː	
fairman	f aɪ ɹ m ə n	
fairmont	f ɛ ɹ m ɑ n t	
fairness	f ɛ ɹ n ə s	
fairs	f ɛ ɹ z	
fairview	f ɛ ɹ v j uː	
fairway	f ɛ ɹ w eɪ	
fairways	f ɛ ɹ w eɪ z	
fairweather	f ɛ ɹ w ɛ ð ə ɹ	
fairy	f ɛ ɹ iː	
fairyland	f ɛ ɹ iː l æ n d	
fairytale	f ɛ ɹ iː t eɪ l	
fairytales	f ɛ ɹ iː t eɪ l z	
faisal	f eɪ z ə l	
faison	f eɪ z ə n	
faist	f ɑ ɪ s t	
fait	f eɪ t	
faith	f eɪ θ	
faithful	f eɪ θ f ə l	
faithfully	f eɪ θ f ə l iː	
faithfulness	f eɪ θ f ə l n ɛ s	
faithfuls	f eɪ θ f ə l z	
faiths	f eɪ θ s	
faivre	f eɪ v ə ɹ	
fajardo	f ɑ j ɑ ɹ d oʊ	
fajita	f ə dʒ iː t ə	
fajitas	f ə dʒ iː t ə z	
fake	f eɪ k	
faked	f eɪ k t	
faker	f eɪ k ə ɹ	
fakers	f eɪ k ə ɹ z	
fakes	f eɪ k s	
faking	f eɪ k ɪ ŋ	
falafel	f ə l ɑ f ə l	
falanga	f ɑ l ɑ ŋ ɡ ə	
falani	f ə l ɑ n iː	
falardeau	f æ l ɑ ɹ d oʊ	
falasco	f ɑ l ɑ s k oʊ	
falb	f ɔ l b	
falbo	f æ l b oʊ	
falcigno	f æ l s ɪ ɡ n oʊ	
falck	f æ l k	
falco	f æ l k oʊ	
falcoff	f æ l k ɔ f	
falcon	f æ l k ə n	
falconbridge	f æ l k ə n b ɹ ɪ dʒ	
falconbridge's	f æ l k ə n b ɹ ɪ dʒ ɪ z	
falcone	f ɑ l k oʊ n iː	
falconer	f æ l k ə n ə ɹ	
falconers	f æ l k ə n ə ɹ z	
falconet	f æ l k ə n ɛ t	
falconets	f æ l k ə n ɛ t s	
falconi	f ɑ l k oʊ n iː	
falconry	f æ l k ə n ɹ iː	
falcons	f æ l k ə n z	
faldo	f ɑ l d oʊ	
faler	f eɪ l ə ɹ	
fales	f eɪ l z	
faley	f eɪ l iː	
falgoust	f ɑ l ɡ uː s t	
falgout	f æ l ɡ aʊ t	
falik	f ɑ l ɪ k	
falin	f æ l ɪ n	
falise	f ə l iː s	
falk	f ɔ k	
falke	f ɔ k	
falkenberg	f ɔ k ə n b ə ɹ ɡ	
falkenstein	f ɔ k ə n s t aɪ n	
falkland	f ɔ k l ə n d	
falklands	f ɔ k l ə n d z	
falkner	f ɔ k n ə ɹ	
falkowski	f ə l k ɔ f s k iː	
fall	f ɔ l	
fall's	f ɔ l z	
falla	f æ l ə	
fallacies	f æ l ə s iː z	
fallacious	f ə l eɪ ʃ ə s	
fallaciously	f ə l eɪ ʃ ə s l iː	
fallacy	f æ l ə s iː	
fallaw	f æ l ɔ	
fallback	f ɔ l b æ k	
fallen	f ɑ l ə n	
faller	f ɔ l ə ɹ	
fallert	f æ l ə ɹ t	
fallibility	f æ l ɪ b ɪ l ɪ t iː	
fallible	f æ l ə b ə l	
fallin	f æ l ɪ n	
falling	f ɑ l ɪ ŋ	
fallis	f æ l ɪ s	
fallish	f ɑ l ɪ ʃ	
falloff	f ɔ l ɔ f	
fallon	f æ l ə n	
fallopian	f ə l oʊ p iː ə n	
fallout	f ɔ l aʊ t	
fallouts	f ɔ l aʊ t s	
fallow	f æ l oʊ	
fallows	f æ l oʊ z	
falls	f ɔ l z	
falmouth	f æ l m ə θ	
falor	f æ l ə ɹ	
falotico	f ɑ l oʊ t iː k oʊ	
false	f ɔ l s	
falsehood	f æ l s h ʊ d	
falsehoods	f æ l s h ʊ d z	
falsely	f ɔ l s l iː	
falsetto	f ɔ l s ɛ t oʊ	
falsettos	f ɔ l s ɛ t oʊ z	
falsification	f æ l s ə f ə k eɪ ʃ ə n	
falsified	f ɔ l s ə f aɪ d	
falsify	f ɔ l s ə f aɪ	
falsifying	f ɔ l s ə f aɪ ɪ ŋ	
falsity	f ɔ l s ə t iː	
falsone	f ɔ l s ə n	
falstaff	f ɔ l s t æ f	
falstaff's	f ɔ l s t æ f s	
falter	f ɔ l t ə ɹ	
faltered	f ɑ l t ə ɹ d	
faltering	f ɔ l t ə ɹ ɪ ŋ	
falters	f ɔ l t ə ɹ z	
falvey	f æ l v iː	
falvo	f ɑ l v oʊ	
falwell	f ɔ l w ɛ l	
falwell's	f ɔ l w ɛ l z	
falynn	f æ l ɪ n	
falzarano	f ɑ l z ɑ ɹ ɑ n oʊ	
falzon	f ɑ l z ə n	
falzone	f ɑ l z oʊ n iː	
fama	f ɑ m ə	
fambro	f æ m b ɹ oʊ	
fambrough	f æ m b ɹ aʊ	
fame	f eɪ m	
famed	f eɪ m d	
famer	f eɪ m ə ɹ	
famers	f eɪ m ə ɹ z	
famiglietti	f ə m ɪ ɡ l iː ɛ t iː	
familial	f ə m ɪ l j ə l	
familiar	f ə m ɪ l j ə ɹ	
familiarity	f ə m ɪ l j ɛ ɹ ə t iː	
familiarize	f ə m ɪ l j ə ɹ aɪ z	
familiarized	f ə m ɪ l j ə ɹ aɪ z d	
families	f æ m ə l iː z	
families'	f æ m ə l iː z	
family	f æ m ə l iː	
family's	f æ m ə l iː z	
famine	f æ m ə n	
famines	f æ m ə n z	
famished	f æ m ɪ ʃ t	
famous	f eɪ m ə s	
famously	f eɪ m ə s l iː	
famularo	f ɑ m uː l ɑ ɹ oʊ	
fan	f æ n	
fan's	f æ n z	
fanara	f ɑ n ɑ ɹ ə	
fanatic	f ə n æ t ɪ k	
fanatical	f ə n æ t ɪ k ə l	
fanatically	f ə n æ t ɪ k ə l iː	
fanaticism	f ə n æ t ə s ɪ z ə m	
fanatics	f ə n æ t ɪ k s	
fancher	f æ n tʃ ə ɹ	
fanchon	f æ n tʃ ə n	
fancied	f æ n s iː d	
fancier	f æ n s iː ə ɹ	
fanciers	f æ n s iː ə ɹ z	
fancies	f æ n s iː z	
fanciest	f æ n s iː ə s t	
fanciful	f æ n s ɪ f ə l	
fancy	f æ n s iː	
fandango	f æ n d æ ŋ ɡ oʊ	
fandel	f æ n d ə l	
fandrich	f æ n d ɹ ɪ k	
fane	f eɪ n	
fanech	f æ n ɛ k	
fanech's	f æ n ɛ k s	
fanelli	f ə n ɛ l iː	
faneuil	f æ n j uː ɪ l	
fanfare	f æ n f ɛ ɹ	
fang	f æ ŋ	
fanger	f æ ŋ ə ɹ	
fangle	f æ ŋ ɡ ə l	
fangled	f æ ŋ ɡ ə l d	
fangman	f æ ŋ m ə n	
fangs	f æ ŋ z	
fanguy	f ə ŋ ɡ w iː	
fankhauser	f æ ŋ k h aʊ z ə ɹ	
fanlike	f æ n l aɪ k	
fann	f æ n	
fanned	f æ n d	
fannie	f æ n iː	
fannin	f æ n ɪ n	
fanning	f æ n ɪ ŋ	
fanning's	f æ n ɪ ŋ z	
fannon	f æ n ə n	
fanny	f æ n iː	
fans	f æ n z	
fans'	f æ n z	
fansler	f æ n s ə l ə ɹ	
fant	f æ n t	
fanta	f ɑ n t ə	
fantail	f æ n t eɪ l	
fantasia	f æ n t eɪ ʒ ə	
fantasies	f æ n t ə s iː z	
fantasize	f æ n t ə s aɪ z	
fantasized	f æ n t ɪ s aɪ z d	
fantasizes	f æ n t ə s aɪ z ɪ z	
fantasizing	f æ n t ə s aɪ z ɪ ŋ	
fantastic	f æ n t æ s t ɪ k	
fantastically	f æ n t æ s t ɪ k l iː	
fantastik	f æ n t æ s t ɪ k	
fantasy	f æ n t ə s iː	
fantasyland	f æ n t ə s iː l æ n d	
fantini	f ɑ n t iː n iː	
fantle	f æ n t ə l	
fanton	f æ n t ə n	
fantozzi	f ɑ n t oʊ t s iː	
fantroy	f æ n t ɹ ɔɪ	
fanuc	f æ n ə k	
fanucchi	f ɑ n uː k iː	
fanueil	f æ n j ə l	
fao	f aʊ	
far	f ɑ ɹ	
far's	f ɑ ɹ z	
farabaugh	f æ ɹ ə b ɔ	
farabee	f æ ɹ ə b iː	
farabundo	f ɛ ɹ ə b uː n d oʊ	
farace	f ɑ ɹ ɑ tʃ iː	
faraci	f ɑ ɹ ɑ tʃ iː	
faraday	f æ ɹ ə d eɪ	
faraday's	f æ ɹ ə d eɪ z	
faragher	f æ ɹ ə ɡ ə ɹ	
farago	f ɑ ɹ ɑ ɡ oʊ	
farah	f ɛ ɹ ə	
faraha	f ɑ ɹ ə h ɑ	
farahkan	f æ ɹ ə k æ n	
farai	f ɛ ɹ eɪ	
faranda	f ə ɹ æ n d ə	
faraone	f ɑ ɹ ɑ oʊ n iː	
faraway	f ɑ ɹ ə w eɪ	
farb	f ɑ ɹ b	
farben	f ɑ ɹ b ə n	
farber	f ɑ ɹ b ə ɹ	
farberware	f ɑ ɹ b ə ɹ w ɛ ɹ	
farbman	f ɑ ɹ b m ə n	
farce	f ɑ ɹ s	
farcical	f ɑ ɹ s ə k ə l	
fare	f ɛ ɹ	
fared	f ɛ ɹ d	
fares	f ɛ ɹ z	
farese	f ɑ ɹ eɪ z iː	
faretlow	f ə ɹ ɛ t l oʊ	
farewell	f ɛ ɹ w ɛ l	
farewells	f ɛ ɹ w ɛ l z	
farfen	f ɑ ɹ f ə n	
farfetched	f ɑ ɹ f ɛ tʃ t	
farge	f ɑ ɹ dʒ	
fargnoli	f ɑ ɹ ɡ n oʊ l iː	
fargo	f ɑ ɹ ɡ oʊ	
fargo's	f ɑ ɹ ɡ oʊ z	
farha	f ɑ ɹ h ə	
farhat	f ɑ ɹ h æ t	
faria	f ɑ ɹ iː ə	
farias	f ɛ ɹ iː ə z	
faribault	f æ ɹ ə b ɑ l t	
farica	f ɑ ɹ iː k ə	
faridoun	f ɑ ɹ ɪ d uː n	
fariello	f ɑ ɹ iː ɛ l oʊ	
faries	f ɛ ɹ iː z	
farina	f ə ɹ iː n ə	
farinacci	f ɑ ɹ iː n ɑ tʃ iː	
farinas	f ə ɹ iː n ə z	
farinella	f ɑ ɹ iː n ɛ l ə	
faring	f ɛ ɹ iː ŋ	
farino	f ɑ ɹ iː n oʊ	
faris	f ɛ ɹ ɪ s	
farish	f ɛ ɹ ɪ ʃ	
fariss	f ə ɹ ɪ s	
farkas	f ɑ ɹ k ə s	
farland	f ɑ ɹ l ə n d	
farlee	f ɑ ɹ l iː	
farler	f ɑ ɹ l ə ɹ	
farless	f ɑ ɹ l ə s	
farley	f ɑ ɹ l iː	
farling	f ɑ ɹ l ɪ ŋ	
farlow	f ɑ ɹ l oʊ	
farly	f ɑ ɹ l iː	
farm	f ɑ ɹ m	
farm's	f ɑ ɹ m z	
farman	f ɑ ɹ m ə n	
farmboy	f ɑ ɹ m b ɔɪ	
farmed	f ɑ ɹ m d	
farmer	f ɑ ɹ m ə ɹ	
farmer's	f ɑ ɹ m ə ɹ z	
farmers	f ɑ ɹ m ə ɹ z	
farmers'	f ɑ ɹ m ə ɹ z	
farmers's	f ɑ ɹ m ə ɹ z ɪ z	
farmhand	f ɑ ɹ m h æ n d	
farmhands	f ɑ ɹ m h æ n d z	
farmhouse	f ɑ ɹ m h aʊ s	
farmhouses	f ɑ ɹ m h aʊ s ə z	
farming	f ɑ ɹ m ɪ ŋ	
farming's	f ɑ ɹ m ɪ ŋ z	
farmingdale	f ɑ ɹ m ɪ ŋ d eɪ l	
farmington	f ɑ ɹ m ɪ ŋ t ə n	
farmland	f ɑ ɹ m l æ n d	
farmlands	f ɑ ɹ m l æ n d z	
farms	f ɑ ɹ m z	
farms'	f ɑ ɹ m z	
farmstead	f ɑ ɹ m s t ɛ d	
farmworker	f ɑ ɹ m w ɜː k ə ɹ	
farmworkers	f ɑ ɹ m w ɜː k ə ɹ z	
farmyard	f ɑ ɹ m j ɑ ɹ d	
farnall	f ɑ ɹ n ə l	
farnam	f ɑ ɹ n ə m	
farnan	f ɑ ɹ n ə n	
farnborough	f ɑ ɹ n b ə ɹ oʊ	
farnell	f ɑ ɹ n ə l	
farner	f ɑ ɹ n ə ɹ	
farnes	f ɑ ɹ n z	
farney	f ɑ ɹ n iː	
farnham	f ɑ ɹ n ə m	
farnley	f ɑ ɹ n l iː	
farnsworth	f ɑ ɹ n s w ə ɹ θ	
farnum	f ɑ ɹ n ə m	
farnworth	f ɑ ɹ n w ə ɹ θ	
faro	f ɛ ɹ oʊ	
farold	f æ ɹ oʊ l d	
faron	f ɛ ɹ ə n	
farone	f ə ɹ oʊ n	
farouk	f ə ɹ uː k	
farquar	f ɑ ɹ k w ɑ ɹ	
farquhar	f ɑ ɹ k w ə ɹ	
farquharson	f ɑ ɹ k ʌ h ɑ ɹ s ə n	
farr	f ɑ ɹ	
farra	f ɑ ɹ ə	
farragut	f ɛ ɹ ə ɡ ə t	
farrah	f ɛ ɹ ə	
farrakhan	f ɑ ɹ ə k ɑ n	
farrakhan's	f ɑ ɹ ə k ɑ n z	
farran	f æ ɹ ə n	
farrand	f æ ɹ ə n d	
farrant	f ɑ ɹ ə n t	
farrar	f ə ɹ ɑ ɹ	
farrel	f ɛ ɹ ə l	
farrell	f ɛ ɹ ɪ l	
farrell's	f ɛ ɹ ɪ l z	
farrelly	f ɛ ɹ ə l iː	
farren	f ɛ ɹ ə n	
farrens	f æ ɹ ə n z	
farrer	f ɑ ɹ ə ɹ	
farrey	f æ ɹ iː	
farrier	f ɛ ɹ iː ə ɹ	
farrington	f ɛ ɹ ɪ ŋ t ə n	
farrior	f ɑ ɹ iː ə ɹ	
farris	f ɛ ɹ ɪ s	
farrish	f æ ɹ ɪ ʃ	
farro	f ɑ ɹ oʊ	
farron	f ɛ ɹ ə n	
farrow	f ɛ ɹ oʊ	
farrow's	f ɛ ɹ oʊ z	
farrowing	f æ ɹ oʊ ɪ ŋ	
farruggia	f ɑ ɹ uː ɡ dʒ ə	
farrugia	f ɑ ɹ uː dʒ ə	
farry	f æ ɹ iː	
farsi	f ɑ ɹ s iː	
farsighted	f ɑ ɹ s aɪ t ə d	
farsightedness	f ɑ ɹ s aɪ t ɪ d n ə s	
farson	f ɑ ɹ s ə n	
fart	f ɑ ɹ t	
farther	f ɑ ɹ ð ə ɹ	
farthest	f ɑ ɹ ð ə s t	
farthing	f ɑ ɹ ð ɪ ŋ	
farthingale	f ɑ ɹ ð ɪ ŋ ɡ eɪ l	
farting	f ɑ ɹ t ɪ ŋ	
farve	f ɑ ɹ v	
farver	f ɑ ɹ v ə ɹ	
farwell	f ɑ ɹ w ɛ l	
farwest	f ɑ ɹ w ɛ s t	
fasano	f ɑ s ɑ n oʊ	
fasbender	f æ s b ɛ n d ə ɹ	
fascell	f ə s ɛ l	
fasching	f æ ʃ ɪ ŋ	
fasciano	f ɑ s tʃ iː ɑ n oʊ	
fascinate	f æ s ə n eɪ t	
fascinated	f æ s ə n eɪ t ə d	
fascinates	f æ s ə n eɪ t s	
fascinating	f æ s ə n eɪ t ɪ ŋ	
fascination	f æ s ə n eɪ ʃ ə n	
fascism	f æ ʃ ɪ z ə m	
fascist	f æ ʃ ɪ s t	
fascists	f æ ʃ ɪ s t s	
fashion	f æ ʃ ə n	
fashion's	f æ ʃ ə n z	
fashionable	f æ ʃ ə n ə b ə l	
fashionably	f æ ʃ ə n ə b l iː	
fashioned	f æ ʃ ə n d	
fashioning	f æ ʃ ə n ɪ ŋ	
fashions	f æ ʃ ə n z	
fasick	f æ s ɪ k	
fasig	f æ s ɪ ɡ	
fasnacht	f æ s n ə k t	
faso	f ɑ s oʊ	
faso's	f ɑ s oʊ z	
fason	f æ s ə n	
fasone	f ɑ s oʊ n iː	
fass	f æ s	
fassbender	f æ s b ɛ n d ə ɹ	
fassett	f æ s ɪ t	
fassler	f æ s l ə ɹ	
fassnacht	f æ s n ə k t	
fassulo	f ə s uː l oʊ	
fast	f æ s t	
fast-forward	f æ s t f ɔ ɹ w ə ɹ d	
fast-paced	f æ s t p eɪ s t	
fastball	f æ s t b ɔ l	
fastballs	f æ s t b ɔ l z	
fasted	f æ s t ɪ d	
fasten	f æ s ə n	
fastened	f æ s ə n d	
fastener	f æ s ə n ə ɹ	
fasteners	f æ s ə n ə ɹ z	
fastening	f æ s ə n ɪ ŋ	
fastenings	f æ s ə n ɪ ŋ z	
faster	f æ s t ə ɹ	
fastest	f æ s t ə s t	
fastfood	f æ s t f uː d	
fastidious	f æ s t ɪ d iː ə s	
fasting	f æ s t ɪ ŋ	
fastness	f æ s t n ə s	
fasts	f æ s t s	
fasulo	f ə s uː l oʊ	
fat	f æ t	
fata	f ɑ t ə	
fatah	f ɑ t ə	
fatal	f eɪ t ə l	
fatalism	f eɪ t ə l ɪ z ə m	
fatalist	f eɪ t ə l ɪ s t	
fatalistic	f eɪ t ə l ɪ s t ɪ k	
fatalists	f eɪ t ə l ɪ s t s	
fatalities	f ə t æ l ɪ t iː z	
fatality	f ə t æ l ɪ t iː	
fatally	f eɪ t ə l iː	
fate	f eɪ t	
fated	f eɪ t ɪ d	
fateful	f eɪ t f ə l	
fateh	f ɑ t ɛ	
fates	f eɪ t s	
fath	f æ θ	
father	f ɑ ð ə ɹ	
father's	f ɑ ð ə ɹ z	
father-in-law	f ɑ ð ə ɹ ɪ n l ɔ	
fathered	f ɑ ð ə ɹ d	
fatheree	f æ θ ə ɹ iː	
fatherhood	f ɑ ð ə ɹ h ʊ d	
fathering	f ɑ ð ə ɹ ɪ ŋ	
fatherland	f ɑ ð ə ɹ l æ n d	
fatherless	f ɑ ð ə ɹ l ə s	
fatherly	f ɑ ð ə ɹ l iː	
fathers	f ɑ ð ə ɹ z	
fathers'	f æ θ ə ɹ z	
fathi	f æ θ iː	
fathom	f æ ð ə m	
fathomable	f æ ð ə m ə b ə l	
fathoms	f æ ð ə m z	
fatigue	f ə t iː ɡ	
fatigued	f ə t iː ɡ d	
fatigues	f ə t iː ɡ z	
fatiguing	f ə t iː ɡ ɪ ŋ	
fatima	f æ θ ɪ m ə	
fatimah	f æ θ ɪ m ə	
fats	f æ t s	
fatten	f æ t ə n	
fattened	f æ t ə n d	
fattening	f æ t ə n ɪ ŋ	
fatter	f æ t ə ɹ	
fattest	f æ t ə s t	
fatties	f æ t iː z	
fatty	f æ t iː	
fatula	f ɑ t uː l ə	
fatuous	f æ tʃ ə w ə s	
fatwa	f ɑ t w ɑ	
fatzinger	f eɪ t z ɪ ŋ ə ɹ	
faubel	f aʊ b ə l	
fauber	f aʊ b ə ɹ	
faubert	f aʊ b ə ɹ t	
faubion	f aʊ b iː ə n	
fauble	f ɔ b ə l	
faubus	f ɔ b ə s	
faucet	f ɔ s ə t	
faucets	f ɔ s ə t s	
faucett	f ɔ s ɪ t	
faucette	f oʊ s ɛ t	
faucher	f aʊ k ə ɹ	
faucheux	f oʊ ʃ oʊ	
fauci	f ɔ s iː	
faughn	f ɔ n	
faughnan	f ɔ n ə n	
faught	f ɔ t	
faught's	f ɔ t s	
faul	f ɔ l	
faulcon	f ɔ l k ə n	
faulconer	f ɔ l k ə n ə ɹ	
faulding	f ɔ l d ɪ ŋ	
faulds	f ɔ l d z	
faulhaber	f aʊ l h ə b ə ɹ	
faulk	f ɔ k	
faulkenberry	f ɔ l k ə n b ɛ ɹ iː	
faulkner	f ɔ k n ə ɹ	
faulkner's	f ɔ k n ə ɹ z	
faulks	f ɔ k s	
faull	f ɔ l	
faulstich	f ɔ l s t ɪ tʃ	
fault	f ɔ l t	
faulted	f ɔ l t ɪ d	
faulting	f ɔ l t ɪ ŋ	
faults	f ɔ l t s	
faulty	f ɔ l t iː	
fauna	f ɔ n ə	
faunal	f ɑ n ə l	
faunce	f ɔ n s	
fauntleroy	f ɔ n t l ə ɹ ɔɪ	
fauntroy	f ɔ n t ɹ ɔɪ	
faupel	f oʊ p ɛ l	
faure	f ɔ ɹ	
faurot	f ɔ ɹ oʊ	
fauroux	f ɔ ɹ uː	
faus	f ɔ z	
fauser	f aʊ s ə ɹ	
fausett	f ɔ s ɪ t	
fausey	f ɔ s iː	
fausnaugh	f ɔ s n ɔ	
fauss	f ɔ s	
faust	f aʊ s t	
fausta	f ɔ s t ə	
faustian	f ɔ s tʃ ə n	
faustina	f ɔ s t iː n ə	
faustine	f aʊ s t iː n	
faustino	f ɔ s t iː n oʊ	
fausto	f ɔ s t oʊ	
faustus	f ɔ s t ə s	
fauteux	f oʊ t oʊ	
fauth	f ɔ θ	
fauver	f aʊ v ə ɹ	
faux	f ɔ k s	
fava	f ɑ v ə	
favale	f ɑ v ɑ l iː	
favaloro	f ɑ v ɑ l ɔ ɹ oʊ	
favaro	f ɑ v ɑ ɹ oʊ	
favata	f ɑ v ɑ t ə	
favazza	f ɑ v ɑ t s ə	
fave	f eɪ v	
favela	f ɑ v ɛ l ə	
faver	f eɪ v ə ɹ	
favero	f ɑ v ɛ ɹ oʊ	
favia	f ɑ v iː ə	
favinger	f eɪ v ɪ ŋ ə ɹ	
favor	f eɪ v ə ɹ	
favorability	f æ v ə ɹ ə b ɪ l ɪ t iː	
favorable	f eɪ v ə ɹ ə b ə l	
favorably	f eɪ v ə ɹ ə b l iː	
favored	f eɪ v ə ɹ d	
favoring	f eɪ v ə ɹ ɪ ŋ	
favorite	f eɪ v ə ɹ ɪ t	
favorites	f eɪ v ə ɹ ɪ t s	
favoritism	f eɪ v ə ɹ ɪ t ɪ z ə m	
favors	f eɪ v ə ɹ z	
favour	f eɪ v ə ɹ	
favourite	f eɪ v ə ɹ ɪ t	
favours	f eɪ v ə ɹ z	
favre	f eɪ v ə ɹ	
favreau	f ə v ɹ oʊ	
favro	f æ v ɹ oʊ	
faw	f ɔ	
fawbush	f ɔ b ʊ ʃ	
fawcett	f ɔ s ɪ t	
fawkes	f ɔ k s	
fawley	f ɔ l iː	
fawn	f ɔ n	
fawning	f ɔ n ɪ ŋ	
fawver	f ɔ v ə ɹ	
fax	f æ k s	
faxed	f æ k s t	
faxer	f æ k s ə ɹ	
faxes	f æ k s ɪ z	
faxing	f æ k s ɪ ŋ	
faxon	f æ k s ə n	
fay	f eɪ	
fay's	f eɪ z	
fayanjuu	f aɪ ə n dʒ uː	
fayanne	f eɪ ɪ n	
fayard	f ə j ɑ ɹ d	
faye	f eɪ	
faye's	f eɪ z	
fayed	f eɪ d	
fayed's	f eɪ d z	
fayette	f eɪ ɛ t	
fayetteville	f eɪ ɛ t v ɪ l	
fayez	f eɪ ɛ z	
fayme	f eɪ m	
faymonville	f eɪ m ə n v ɪ l	
fayne	f eɪ n	
fayrouz	f eɪ ɹ uː z	
faz	f æ z	
faze	f eɪ z	
fazed	f eɪ z d	
fazekas	f æ z ɪ k ə z	
fazenbaker	f eɪ z ə n b eɪ k ə ɹ	
fazio	f eɪ z iː oʊ	
fazzino	f ɑ t s iː n oʊ	
fazzio	f æ z iː oʊ	
fbi	ɛ f b iː aɪ	
fbi's	ɛ f b iː aɪ z	
fcc	ɛ f s iː s iː	
fcc's	ɛ f s iː s iː z	
fda	ɛ f d iː eɪ	
fe	f eɪ	
fe's	f eɪ z	
feagan	f eɪ ɡ ə n	
feagans	f iː ɡ ə n z	
feagin	f iː dʒ ɪ n	
feagins	f iː dʒ ɪ n z	
feagle	f iː ɡ ə l	
fealty	f iː ə l t iː	
fear	f ɪ ɹ	
feared	f ɪ ɹ d	
fearful	f ɪ ɹ f ə l	
fearing	f ɪ ɹ ɪ ŋ	
fearless	f ɪ ɹ l ə s	
fearn	f ɜː n	
fearnow	f ɜː n oʊ	
fearon	f ɪ ɹ ə n	
fears	f ɪ ɹ z	
fearsome	f ɪ ɹ s ə m	
feasel	f iː z ə l	
feasibility	f iː z ə b ɪ l ə t iː	
feasible	f iː z ə b ə l	
feasibly	f iː z ə b l iː	
feast	f iː s t	
feasted	f iː s t ɪ d	
feaster	f iː s t ə ɹ	
feasting	f iː s t ɪ ŋ	
feasts	f iː s t s	
feat	f iː t	
feather	f ɛ ð ə ɹ	
featherbed	f ɛ ð ə ɹ b ɛ d	
featherbedding	f ɛ ð ə ɹ b ɛ d ɪ ŋ	
feathered	f ɛ ð ə ɹ d	
feathering	f ɛ ð ə ɹ ɪ ŋ	
featherless	f ɛ ð ə ɹ l ə s	
featherly	f ɛ ð ə ɹ l iː	
feathers	f ɛ ð ə ɹ z	
featherston	f ɛ ð ə ɹ s t ə n	
featherstone	f ɛ ð ə ɹ s t oʊ n	
featherweight	f ɛ ð ə ɹ w eɪ t	
feathery	f ɛ ð ə ɹ iː	
feats	f iː t s	
feature	f iː tʃ ə ɹ	
featured	f iː tʃ ə ɹ d	
featureless	f iː tʃ ə ɹ l ə s	
features	f iː tʃ ə ɹ z	
featuring	f iː tʃ ə ɹ ɪ ŋ	
feazel	f iː z ə l	
feazell	f iː z ə l	
feb	f ɛ b j ə w ɛ ɹ iː	
febles	f ɛ b ə l z	
febres	f ɛ b ɹ ə s	
february	f ɛ b j ə w ɛ ɹ iː	
february's	f ɛ b j ə w ɛ ɹ iː z	
fecal	f iː k ə l	
feces	f iː s iː z	
fecher	f ɛ k ə ɹ	
fechner	f ɛ k n ə ɹ	
fecht	f ɛ k t	
fechter	f ɛ k t ə ɹ	
feck	f ɛ k	
feckless	f ɛ k l ɪ s	
fecteau	f ɪ k t oʊ	
fecundity	f ə k ʌ n d ɪ t iː	
fed	f ɛ d	
fed's	f ɛ d z	
fedak	f ɛ d ə k	
fedder	f ɛ d ə ɹ	
fedders	f ɛ d ə ɹ z	
fedders's	f ɛ d ə ɹ z ɪ z	
feddersen	f ɛ d ə ɹ s ə n	
fede	f iː d	
fedeccredito	f ɛ d ɛ k ɹ ɛ d iː t oʊ	
fedele	f ɛ d ə l	
fedeli	f ɛ d ɛ l iː	
feder	f ɛ d ə ɹ	
federal	f ɛ d ə ɹ ə l	
federal's	f ɛ d ə ɹ ə l z	
federalism	f ɛ d ə ɹ ə l ɪ z ə m	
federalist	f ɛ d ə ɹ ə l ɪ s t	
federalists	f ɛ d ə ɹ ə l ɪ s t s	
federalize	f ɛ d ə ɹ ə l aɪ z	
federalized	f ɛ d ə ɹ ə l aɪ z d	
federalizing	f ɛ d ə ɹ ə l aɪ z ɪ ŋ	
federally	f ɛ d ə ɹ ə l iː	
federals	f ɛ d ə ɹ ə l z	
federate	f ɛ d ə ɹ eɪ t	
federated	f ɛ d ə ɹ eɪ t ɪ d	
federated's	f ɛ d ə ɹ eɪ t ɪ d z	
federation	f ɛ d ə ɹ eɪ ʃ ə n	
federation's	f ɛ d ə ɹ eɪ ʃ ə n z	
federations	f ɛ d ə ɹ eɪ ʃ ə n z	
federative	f ɛ d ə ɹ ə t ɪ v	
federbush	f ɛ d ə ɹ b ʊ ʃ	
federer	f ɛ d ə ɹ ə ɹ	
federica	f ɛ d ə ɹ iː k ə	
federici	f ɛ d ə ɹ iː tʃ iː	
federico	f ɛ d ə ɹ iː k oʊ	
federle	f ɛ d ə ɹ ə l	
federman	f iː d ə ɹ m ə n	
